"","is","ferdatimi_skoli","styrikerfi_simi","ferdamati_skoli","systkini_fjoldi","dyr","feministi","staerdfraedi_gaman","smjor_kostar","napoleon_faeddur","stefnumot","messi_staerd","kosid"
"49","Jarðaberja",20,"iOS","Með einkabíl",1,"Hunda","Rétt",8,825,1854,"Á kaffihús",169,"Rétt"
"50","Súkkulaði",25,"iOS","Með einkabíl",3,"Hunda","Rétt",8,400,1860,"Á kaffihús",175,"Rétt"
"51","Vanilla",4,"Android","Með einkabíl",5,"Hunda","Rétt",8,530,1768,"Á kaffihús",168,"Rétt"
"52","Vanilla",13,"iOS","Með einkabíl",3,"Hunda","Rétt",9,359,1120,"Í fjallgöngu",171,"Rétt"
"53","Súkkulaði",10,"iOS","Með einkabíl",2,"Hunda","Rétt",7,340,1820,"Á ísrúnt",170,"Rétt"
"54","Súkkulaði",25,"Android","Með einkabíl",3,"Ketti","Rétt",9,700,1769,"Í bíó",170,"Rangt"
"55","Súkkulaði",10,"iOS","Með einkabíl",2,"Hunda","Rétt",7,690,1768,"Á ísrúnt",164,"Rétt"
"56","Jarðaberja",32,"iOS","Með einkabíl",2,"Hunda","Rétt",9,527,1737,"Í fjallgöngu",167,"Rangt"
"57","Vanilla",5,"iOS","Gangandi / skokkandi",1,"Hunda","Rangt",9,739,1732,"Á ísrúnt",160,"Rétt"
"58","Súkkulaði",45,"iOS","Með einkabíl",2,"Hunda","Rangt",7,490,1000,"Á ísrúnt",160,"Rangt"
"59","Vanilla",7,"iOS","Gangandi / skokkandi",2,"Hunda","Rétt",5,759,1750,"Á ísrúnt",160,"Rétt"
"60","Vanilla",20,"iOS","Með einkabíl",1,"Hunda","Rétt",7,300,1920,"Á kaffihús",175,"Rangt"
"61","Jarðaberja",15,"iOS","Með einkabíl",2,"Hunda","Rétt",5,561,1769,"Á ísrúnt",174,"Rétt"
"62","Jarðaberja",22,"iOS","Með einkabíl",1,"Ketti","Rétt",5,500,1749,"Á kaffihús",172,"Rétt"
"63","Vanilla",30,"iOS","Með einkabíl",2,"Hunda","Rétt",8,450,1768,"Á ísrúnt",171,"Rétt"
"64","Súkkulaði",15,"iOS","Með einkabíl",2,"Hunda","Rétt",8,500,1000,"Á kaffihús",188,"Rétt"
"65","Súkkulaði",20,"iOS","Með einkabíl",2,"Ketti","Rétt",8,1000,1750,"Á ísrúnt",170,"Rangt"
"66","Vanilla",45,"iOS","Með einkabíl",2,"Hunda","Rétt",7,745,1717,"Á ísrúnt",165,"Rétt"
"67","Súkkulaði",3,"iOS","Gangandi / skokkandi",2,"Hunda","Rétt",8,759,1769,"Á ísrúnt",170,"Rétt"
"68","Súkkulaði",25,"iOS","Með strætó",1,"Hunda","Rétt",8,300,1860,"Á ísrúnt",167,"Rangt"
"69","Súkkulaði",15,"iOS","Með einkabíl",5,"Ketti","Rétt",9,550,1792,"Á ísrúnt",1.68,"Rétt"
"70","Vanilla",4,"iOS","Með einkabíl",2,"Hunda","Rétt",7,650,1878,"Á ísrúnt",168,"Rétt"
"71","Súkkulaði",15,"iOS","Með einkabíl",2,"Hunda","Rétt",8,700,1780,"Á ísrúnt",170,"Rétt"
"72","Jarðaberja",20,"iOS","Með einkabíl",6,"Ketti","Rétt",2,519,1729,"Á ísrúnt",175,"Rangt"
"73","Súkkulaði",16,"iOS","Með einkabíl",3,"Ketti","Rétt",8,800,1770,"Á kaffihús",170,"Rétt"
"74","Vanilla",30,"iOS","Með einkabíl",2,"Hunda","Rétt",3,345,1769,"Á kaffihús",169,"Rétt"
"75","Vanilla",7,"iOS","Með einkabíl",1,"Hunda","Rétt",8,618,1867,"Á ísrúnt",156,"Rétt"
"76","Vanilla",10,"iOS","Með einkabíl",2,"Hunda","Rangt",9,600,1700,"Á ísrúnt",170,"Rétt"
"77","Súkkulaði",5,"iOS","Gangandi / skokkandi",2,"Ketti","Rétt",8,595,1765,"Á kaffihús",186,"Rétt"
"78","Súkkulaði",8,"Android","Með einkabíl",2,"Ketti","Rétt",6,587,1887,"Á kaffihús",175,"Rétt"
"79","Vanilla",5,"iOS","Með einkabíl",3,"Hunda","Rétt",8,750,1790,"Í fjallgöngu",170,"Rangt"
"80","Jarðaberja",20,"iOS","Með einkabíl",1,"Hunda","Rétt",7,1000,1840,"Á ísrúnt",170,"Rangt"
"81","Vanilla",30,"iOS","Með einkabíl",4,"Hunda","Rétt",6,400,1400,"Í fjallgöngu",178,"Rétt"
"82","Súkkulaði",20,"iOS","Með einkabíl",2,"Hunda","Rétt",8,450,1900,"Á ísrúnt",165,"Rétt"
"83","Súkkulaði",15,"iOS","Með einkabíl",1,"Hunda","Rétt",7,399,1769,"Í fjallgöngu",1.7,"Rangt"
"84","Jarðaberja",40,"Android","Með einkabíl",5,"Hunda","Rétt",7,715,1769,"Á ísrúnt",168,"Rétt"
"85","Súkkulaði",21,"iOS","Með strætó",2,"Hunda","Rétt",2,300,1560,"Á kaffihús",167,"Rétt"
"86","Súkkulaði",30,"Android","Með einkabíl",2,"Ketti","Rétt",9,379,1800,"Á ísrúnt",159,"Rétt"
"87","Vanilla",10,"iOS","Með einkabíl",2,"Hunda","Rétt",5,495,1650,"Í fjallgöngu",169,"Rétt"
"88","Vanilla",60,"iOS","Með einkabíl",4,"Hunda","Rétt",8,785,1701,"Á ísrúnt",175,"Rétt"
"89","Vanilla",30,"iOS","Með einkabíl",1,"Hunda","Rétt",8,649,1756,"Á kaffihús",163,"Rétt"
"90","Jarðaberja",20,"iOS","Með einkabíl",2,"Ketti","Rétt",8,259,1867,"Á ísrúnt",169,"Rangt"
"91","Jarðaberja",38,"Android","Með strætó",4,"Ketti","Rétt",9,430,1770,"Á kaffihús",170,"Rétt"
"92","Súkkulaði",20,"iOS","Með einkabíl",3,"Hunda","Rétt",8,750,1769,"Í fjallgöngu",175,"Rétt"
